"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"JP4,JP3,JP2,JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";4;"SolderJumper_2_Bridged";;;
2;"J6";"KMR-1.8-SPI";1;"KMR-1.8 SPI";;;
3;"J7,J4,J3,J2";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";4;"Screw_Terminal_01x02";;;
4;"J1";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Screw_Terminal_01x03";;;
5;"U1";"MODULE_MEGA_PRO_EMBED_CH340G___ATMEGA2560";1;"MEGA_PRO_EMBED_CH340G___ATMEGA2560";;;
6;"U2";"MODULE_TC00500_FHk_BatteryUpside";1;"TC00500";;;
7;"R7,R9,R4,R3,R1";"R_0805_2012Metric";5;"2k2";;;
8;"Q4";"SOT-23";1;"BC807";;;
9;"D4,D3,D1";"LED_1206_3216Metric";3;"LED";;;
10;"Q3,Q2,Q1";"SOT-23";3;"BC817";;;
11;"D6,D5,D2,D10,D9,D8,D7";"D_SOD-123";7;"1N4448W";;;
12;"R8";"R_0805_2012Metric";1;"18R";;;
13;"R6,R5,R2";"R_0805_2012Metric";3;"560";;;
14;"H4,H3,H2,H1";"MountingHole_4.3mm_M4_DIN965";4;"MountingHole";;;
15;"K3,K2,K1";"Relay_SPDT_Finder_36.11";3;"FINDER-36.11";;;
16;"SW4,SW3,SW2,SW1";"SW_PUSH_6mm_H9.5mm";4;"SW_Push";;;
